filles	Miserables.txt 41, NotreDame_De_Paris.txt 1
fillets	Miserables.txt 1
fillette	Miserables.txt 1
filling	Miserables.txt 6
fillip	Miserables.txt 4, NotreDame_De_Paris.txt 1
filliping	Miserables.txt 1
fills	Miserables.txt 8, NotreDame_De_Paris.txt 4
filousophe	Miserables.txt 1
fils	Miserables.txt 1
filspierre	Miserables.txt 2
filter	Miserables.txt 4
filtered	Miserables.txt 3, NotreDame_De_Paris.txt 1
filtering	NotreDame_De_Paris.txt 1
filters	NotreDame_De_Paris.txt 1, Miserables.txt 1
filth	Miserables.txt 19, NotreDame_De_Paris.txt 1
filthy	Miserables.txt 1
final	Miserables.txt 24, NotreDame_De_Paris.txt 6
finally	Miserables.txt 57, NotreDame_De_Paris.txt 23
finance	Miserables.txt 2
finances	NotreDame_De_Paris.txt 1, Miserables.txt 1
financial	Miserables.txt 2, NotreDame_De_Paris.txt 1
financier	Miserables.txt 1
finch	Miserables.txt 1
find	Miserables.txt 135, NotreDame_De_Paris.txt 41
finder	Miserables.txt 1
finding	Miserables.txt 24, NotreDame_De_Paris.txt 8
finds	Miserables.txt 36, NotreDame_De_Paris.txt 10
fine	Miserables.txt 141, NotreDame_De_Paris.txt 126
fined	NotreDame_De_Paris.txt 1
finely	NotreDame_De_Paris.txt 1, Miserables.txt 1
fineness	Miserables.txt 3, NotreDame_De_Paris.txt 1
finer	NotreDame_De_Paris.txt 2
finery	Miserables.txt 3
fines	NotreDame_De_Paris.txt 1
finest	NotreDame_De_Paris.txt 8, Miserables.txt 6
finger	Miserables.txt 36, NotreDame_De_Paris.txt 25
fingering	NotreDame_De_Paris.txt 1
fingers	Miserables.txt 41, NotreDame_De_Paris.txt 15
finical	Miserables.txt 1
finis	Miserables.txt 2
finish	Miserables.txt 19, NotreDame_De_Paris.txt 10
finished	Miserables.txt 62, NotreDame_De_Paris.txt 19
finishes	NotreDame_De_Paris.txt 1, Miserables.txt 1
finishing	Miserables.txt 8
finistere	Miserables.txt 1
finite	Miserables.txt 3
finnicky	Miserables.txt 1
fioriture	NotreDame_De_Paris.txt 1
fiques	Miserables.txt 1
fir	Miserables.txt 1
fire	Miserables.txt 179, NotreDame_De_Paris.txt 85
firebrand	Miserables.txt 4, NotreDame_De_Paris.txt 2
fired	Miserables.txt 24, NotreDame_De_Paris.txt 1
firedogs	Miserables.txt 1
firelight	Miserables.txt 3
fireman	Miserables.txt 3
firemen	Miserables.txt 3
fireplace	Miserables.txt 30
fires	Miserables.txt 8, NotreDame_De_Paris.txt 5
fireside	Miserables.txt 4
firewood	NotreDame_De_Paris.txt 2
firework	NotreDame_De_Paris.txt 1
fireworks	Miserables.txt 3, NotreDame_De_Paris.txt 1
firing	Miserables.txt 25
firm	Miserables.txt 38, NotreDame_De_Paris.txt 9
firma	Miserables.txt 1
firmament	Miserables.txt 5
firmer	Miserables.txt 1
firmest	Miserables.txt 1
firmly	Miserables.txt 13, NotreDame_De_Paris.txt 3
firmness	Miserables.txt 8, NotreDame_De_Paris.txt 2
first	Miserables.txt 582, NotreDame_De_Paris.txt 185
firstly	Miserables.txt 2
fish	Miserables.txt 14, NotreDame_De_Paris.txt 5
fisher	Miserables.txt 1
fisherman	Miserables.txt 2
fishermen	Miserables.txt 1
fishes	NotreDame_De_Paris.txt 3, Miserables.txt 3
fishing	Miserables.txt 1
fishmarket	Miserables.txt 1
fishmarkets	Miserables.txt 1
fishmonger	Miserables.txt 3
fishponds	NotreDame_De_Paris.txt 2
fishwife	Miserables.txt 5, NotreDame_De_Paris.txt 1
fishwives	Miserables.txt 1
fishwoman	Miserables.txt 1
fishwomen	Miserables.txt 1
fissure	Miserables.txt 3
fissures	Miserables.txt 3, NotreDame_De_Paris.txt 2
fist	Miserables.txt 43, NotreDame_De_Paris.txt 6
fistfuls	Miserables.txt 2
fists	Miserables.txt 21, NotreDame_De_Paris.txt 12
fit	Miserables.txt 32, NotreDame_De_Paris.txt 8
fitness	NotreDame_De_Paris.txt 1, Miserables.txt 1
fits	Miserables.txt 11, NotreDame_De_Paris.txt 1
fitted	NotreDame_De_Paris.txt 6, Miserables.txt 6
fitting	Miserables.txt 8, NotreDame_De_Paris.txt 3
fitz	Miserables.txt 1
five	Miserables.txt 285, NotreDame_De_Paris.txt 35
fix	Miserables.txt 11, NotreDame_De_Paris.txt 3
fixation	Miserables.txt 1
fixed	Miserables.txt 78, NotreDame_De_Paris.txt 38
fixedly	Miserables.txt 11, NotreDame_De_Paris.txt 4
fixes	Miserables.txt 2
fixing	Miserables.txt 6, NotreDame_De_Paris.txt 4
fixings	Miserables.txt 1
fixity	Miserables.txt 3
fl	NotreDame_De_Paris.txt 1
flabbily	NotreDame_De_Paris.txt 1
flabby	Miserables.txt 2
flaccid	Miserables.txt 1
flaccus	Miserables.txt 1
flachot	Miserables.txt 1
flag	Miserables.txt 54
flagellate	NotreDame_De_Paris.txt 1
flagged	Miserables.txt 4
flagging	NotreDame_De_Paris.txt 2
flagon	NotreDame_De_Paris.txt 2
flagrant	Miserables.txt 4
flags	Miserables.txt 6
flagstone	NotreDame_De_Paris.txt 1, Miserables.txt 1
flagstones	Miserables.txt 3, NotreDame_De_Paris.txt 2
flake	Miserables.txt 2
flakes	Miserables.txt 3, NotreDame_De_Paris.txt 1
flambeaux	NotreDame_De_Paris.txt 1
flame	Miserables.txt 34, NotreDame_De_Paris.txt 22
flamed	Miserables.txt 5, NotreDame_De_Paris.txt 2
flamel	NotreDame_De_Paris.txt 15
flames	Miserables.txt 9, NotreDame_De_Paris.txt 6
flaming	Miserables.txt 12, NotreDame_De_Paris.txt 9
flaminius	Miserables.txt 1
flamma	NotreDame_De_Paris.txt 1
flanders	NotreDame_De_Paris.txt 16, Miserables.txt 3
flank	Miserables.txt 7, NotreDame_De_Paris.txt 1
flanked	Miserables.txt 7, NotreDame_De_Paris.txt 6
flanks	NotreDame_De_Paris.txt 3
flannel	Miserables.txt 1
flapped	Miserables.txt 1
flaps	Miserables.txt 1
flare	Miserables.txt 1
flaring	NotreDame_De_Paris.txt 2, Miserables.txt 1
flash	Miserables.txt 42, NotreDame_De_Paris.txt 18
flashed	NotreDame_De_Paris.txt 11, Miserables.txt 9
flashes	Miserables.txt 17, NotreDame_De_Paris.txt 2
flashing	NotreDame_De_Paris.txt 6, Miserables.txt 4
flask	Miserables.txt 3
flasks	NotreDame_De_Paris.txt 1, Miserables.txt 1
flat	Miserables.txt 39, NotreDame_De_Paris.txt 10
flatness	Miserables.txt 1
flats	Miserables.txt 1
flattened	NotreDame_De_Paris.txt 5, Miserables.txt 4
flatter	Miserables.txt 2
flattered	Miserables.txt 5, NotreDame_De_Paris.txt 2
flattering	NotreDame_De_Paris.txt 1
flatters	Miserables.txt 3
flaunted	Miserables.txt 2
flavius	Miserables.txt 1
flavor	Miserables.txt 4
flaw	Miserables.txt 1
flax	Miserables.txt 2, NotreDame_De_Paris.txt 1
flay	NotreDame_De_Paris.txt 1
flayed	NotreDame_De_Paris.txt 2, Miserables.txt 2
flayer	NotreDame_De_Paris.txt 1
flea	Miserables.txt 1
fleas	NotreDame_De_Paris.txt 2, Miserables.txt 1
flebit	Miserables.txt 1
fled	Miserables.txt 37, NotreDame_De_Paris.txt 19
flee	Miserables.txt 22, NotreDame_De_Paris.txt 11
fleece	NotreDame_De_Paris.txt 3, Miserables.txt 2
fleecy	NotreDame_De_Paris.txt 1
fleeing	Miserables.txt 10, NotreDame_De_Paris.txt 2
flees	Miserables.txt 2
fleet	Miserables.txt 6
fleets	Miserables.txt 1
fleming	Miserables.txt 11, NotreDame_De_Paris.txt 1
flemings	NotreDame_De_Paris.txt 18, Miserables.txt 1
flemish	NotreDame_De_Paris.txt 27, Miserables.txt 1
flesh	Miserables.txt 40, NotreDame_De_Paris.txt 18
fleshless	NotreDame_De_Paris.txt 5, Miserables.txt 1
fleur	NotreDame_De_Paris.txt 62, Miserables.txt 9
fleuries	NotreDame_De_Paris.txt 1
fleurs	Miserables.txt 9, NotreDame_De_Paris.txt 6
fleurus	Miserables.txt 1
fleury	Miserables.txt 2
flew	Miserables.txt 16, NotreDame_De_Paris.txt 7
flicked	Miserables.txt 1
flicker	Miserables.txt 2
flickered	NotreDame_De_Paris.txt 3, Miserables.txt 1
