g	Miserables.txt 13
grassy	Miserables.txt 1
grate	NotreDame_De_Paris.txt 1
grated	Miserables.txt 21, NotreDame_De_Paris.txt 2
grateful	Miserables.txt 7, NotreDame_De_Paris.txt 1
gratefully	NotreDame_De_Paris.txt 1, Miserables.txt 1
gratia	Miserables.txt 1
gratian	NotreDame_De_Paris.txt 3
gratified	NotreDame_De_Paris.txt 3, Miserables.txt 1
gratifying	NotreDame_De_Paris.txt 1
grating	Miserables.txt 54, NotreDame_De_Paris.txt 11
gratings	Miserables.txt 11, NotreDame_De_Paris.txt 3
gratis	Miserables.txt 5
gratitude	Miserables.txt 19, NotreDame_De_Paris.txt 6
